Average velocities saved to average_velocities.txt
         31881503 function calls (31027791 primitive calls) in 41.996 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    306/1    0.006    0.000   42.021   42.021 {built-in method builtins.exec}
        1    0.000    0.000   42.021   42.021 test.py:1(<module>)
        1    0.115    0.115   36.555   36.555 test.py:20(run_simulation_and_measure)
      200    0.003    0.000   21.103    0.106 animation.py:343(grab_frame)
      200    0.004    0.000   21.078    0.105 figure.py:3239(savefig)
      200    0.011    0.000   21.072    0.105 backend_bases.py:2063(print_figure)
      202    0.003    0.000   20.866    0.103 backend_agg.py:380(draw)
      200    0.001    0.000   20.842    0.104 backend_bases.py:2054(<lambda>)
      200    0.005    0.000   20.841    0.104 backend_agg.py:429(print_raw)
      202    0.001    0.000   20.820    0.103 artist.py:93(draw_wrapper)
28066/202    0.116    0.000   20.820    0.103 artist.py:54(draw_wrapper)
      202    0.005    0.000   20.818    0.103 figure.py:3142(draw)
  404/202    0.003    0.000   20.655    0.102 image.py:114(_draw_list_compositing_images)
      201    0.012    0.000   20.507    0.102 axes3d.py:408(draw)
     1215    0.072    0.000   11.227    0.009 axis.py:1295(_update_ticks)
      603    0.036    0.000   11.038    0.018 axis3d.py:642(draw_grid)
      200    0.471    0.002    9.648    0.048 box.py:175(step)
     1206    0.041    0.000    9.337    0.008 axis3d.py:173(get_major_ticks)
     1215    0.016    0.000    9.086    0.007 axis.py:1650(get_major_ticks)
   990000    2.628    0.000    8.599    0.000 box.py:109(handle_particle_collisions)
     4223    0.028    0.000    8.197    0.002 axis.py:1591(_get_tick)
     4215    0.079    0.000    8.152    0.002 axis.py:394(__init__)
      603    0.056    0.000    6.951    0.012 axis3d.py:577(draw)
  1070403    3.483    0.000    6.225    0.000 _linalg.py:2624(norm)
      603    0.116    0.000    6.192    0.010 axis3d.py:446(_draw_ticks)
     4223    0.235    0.000    6.153    0.001 axis.py:59(__init__)
      201    0.004    0.000    4.475    0.022 axes3d.py:1342(clear)
      202    0.001    0.000    4.317    0.021 _base.py:1384(clear)
      202    0.024    0.000    4.316    0.021 _base.py:1257(__clear)
     3630    0.031    0.000    4.177    0.001 axis.py:269(draw)
        1    0.000    0.000    3.750    3.750 test.py:89(plot_velocity_distribution)
      608    0.013    0.000    3.602    0.006 axis.py:870(clear)
54374/44870    0.061    0.000    3.538    0.000 deprecation.py:292(wrapper)
        1    0.000    0.000    3.537    3.537 pyplot.py:567(show)
        1    0.000    0.000    3.537    3.537 backend_bases.py:3526(show)
        1    0.000    0.000    3.527    3.527 backend_macosx.py:175(start_main_loop)
        1    2.797    2.797    3.525    3.525 {built-in method matplotlib.backends._macosx.show}
    33969    0.053    0.000    3.240    0.000 markers.py:220(__init__)
     3011    0.020    0.000    3.086    0.001 axis.py:1612(_copy_tick_props)
     1004    0.009    0.000    3.073    0.003 axis.py:1134(set_clip_path)
    33969    0.156    0.000    3.031    0.000 markers.py:299(_set_marker)
     9077    0.162    0.000    2.998    0.000 text.py:737(draw)
      612    0.123    0.000    2.863    0.005 axis.py:912(reset_ticks)
    52356    0.625    0.000    2.845    0.000 artist.py:1173(_update_props)
    12672    0.365    0.000    2.768    0.000 lines.py:287(__init__)
     9033    0.047    0.000    2.742    0.000 lines.py:1337(update_from)
       34    0.003    0.000    2.405    0.071 __init__.py:1(<module>)
526925/9033    1.011    0.000    2.404    0.000 copy.py:118(deepcopy)
36132/9033    0.280    0.000    2.358    0.000 copy.py:217(_deepcopy_dict)
    43289    0.044    0.000    2.274    0.000 artist.py:1209(_internal_update)
1212/1210    0.004    0.000    2.220    0.002 axis.py:561(__get__)
    30111    0.059    0.000    2.065    0.000 artist.py:147(<lambda>)
     9064    0.040    0.000    2.010    0.000 text.py:104(__init__)
    30111    0.057    0.000    2.006    0.000 artist.py:1220(set)
      202    0.008    0.000    1.745    0.009 _base.py:3072(draw)
    360/5    0.005    0.000    1.737    0.347 <frozen importlib._bootstrap>:1349(_find_and_load)
    357/5    0.003    0.000    1.736    0.347 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    341/6    0.002    0.000    1.735    0.289 <frozen importlib._bootstrap>:911(_load_unlocked)
    291/6    0.002    0.000    1.734    0.289 <frozen importlib._bootstrap_external>:989(exec_module)
   843/10    0.001    0.000    1.731    0.173 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      804    0.024    0.000    1.696    0.002 collections.py:349(draw)
   419/10    0.001    0.000    1.639    0.164 {built-in method builtins.__import__}
 1038/657    0.003    0.000    1.490    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
  207/202    0.001    0.000    1.388    0.007 artist.py:31(draw_wrapper)
    55294    0.289    0.000    1.383    0.000 copy.py:247(_reconstruct)
      201    0.002    0.000    1.378    0.007 art3d.py:672(draw)
      201    0.001    0.000    1.355    0.007 collections.py:1002(draw)
  1070404    1.339    0.000    1.339    0.000 {method 'dot' of 'numpy.ndarray' objects}
    11493    0.132    0.000    1.276    0.000 lines.py:743(draw)
    10280    0.108    0.000    1.242    0.000 text.py:157(_reset_visual_defaults)
120410/105066    0.134    0.000    1.232    0.000 {built-in method builtins.next}
        1    0.001    0.001    1.102    1.102 pyplot.py:1(<module>)
188297/188121    0.447    0.000    1.055    0.000 cbook.py:285(process)
     3677    0.191    0.000    1.006    0.000 text.py:358(_get_layout)
     2430    0.016    0.000    1.000    0.000 ticker.py:2169(__call__)
   608428    0.425    0.000    0.998    0.000 __init__.py:745(__getitem__)
     3634    0.045    0.000    0.973    0.000 backend_agg.py:186(draw_text)
     2430    0.014    0.000    0.967    0.000 ticker.py:2173(tick_values)
   185769    0.142    0.000    0.915    0.000 artist.py:415(pchanged)
     2430    0.122    0.000    0.875    0.000 ticker.py:2100(_raw_ticks)
      804    0.821    0.001    0.870    0.001 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5255    0.066    0.000    0.862    0.000 artist.py:769(set_clip_path)
1127/1030    0.030    0.000    0.826    0.001 {built-in method builtins.__build_class__}
  402/201    0.005    0.000    0.815    0.004 __init__.py:1470(inner)
     9067    0.048    0.000    0.802    0.000 text.py:194(update)
     8456    0.205    0.000    0.783    0.000 lines.py:671(recache)
885433/755084    0.403    0.000    0.772    0.000 artist.py:316(stale)
59896/56058    0.063    0.000    0.755    0.000 contextlib.py:132(__enter__)
     6744    0.020    0.000    0.754    0.000 patches.py:306(get_transform)
     2532    0.206    0.000    0.737    0.000 axis3d.py:279(_get_coord_info)
   129130    0.289    0.000    0.716    0.000 copy.py:61(copy)
     1215    0.033    0.000    0.673    0.001 axis.py:1533(get_minorticklocs)
     9033    0.016    0.000    0.669    0.000 path.py:279(__deepcopy__)
      804    0.004    0.000    0.669    0.001 art3d.py:810(get_facecolor)
     6133    0.072    0.000    0.668    0.000 patches.py:790(get_patch_transform)
      804    0.006    0.000    0.664    0.001 art3d.py:800(_maybe_depth_shade_and_sort_colors)
59896/56061    0.081    0.000    0.651    0.000 contextlib.py:141(__exit__)
      200    0.008    0.000    0.649    0.003 axes3d.py:2640(scatter)
     2010    0.006    0.000    0.648    0.000 axis.py:234(set_clip_path)
      103    0.007    0.000    0.640    0.006 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.634    0.006 artist.py:126(__init_subclass__)
     9067    0.010    0.000    0.625    0.000 artist.py:1198(update)
   108406    0.378    0.000    0.622    0.000 cbook.py:2063(_setattr_cm)
        1    0.000    0.000    0.609    0.609 figure.py:1(<module>)
      603    0.006    0.000    0.581    0.001 axis3d.py:427(draw_pane)
  1161179    0.416    0.000    0.577    0.000 {built-in method builtins.isinstance}
   609066    0.318    0.000    0.574    0.000 __init__.py:694(_get)
    10281    0.033    0.000    0.568    0.000 text.py:1306(set_fontproperties)
      804    0.018    0.000    0.564    0.001 art3d.py:1170(_zalpha)
    27732    0.031    0.000    0.559    0.000 font_manager.py:906(copy)
     1043    0.008    0.000    0.551    0.001 patches.py:623(draw)
  1071228    0.375    0.000    0.546    0.000 _linalg.py:128(isComplexType)
     2418    0.043    0.000    0.535    0.000 axis.py:2559(get_tick_space)
     5264    0.018    0.000    0.529    0.000 backend_agg.py:94(draw_path)
   919769    0.482    0.000    0.517    0.000 {built-in method builtins.getattr}
     1215    0.004    0.000    0.508    0.000 axis.py:1529(get_majorticklocs)
     5264    0.474    0.000    0.499    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      200    0.012    0.000    0.495    0.002 _axes.py:4639(scatter)
      114    0.001    0.000    0.494    0.004 artist.py:1839(kwdoc)
    39379    0.380    0.000    0.485    0.000 cbook.py:1795(normalize_kwargs)
  1091572    0.479    0.000    0.479    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     7668    0.030    0.000    0.474    0.000 artist.py:1226(_cm_set)
     1285    0.024    0.000    0.463    0.000 {built-in method builtins.sum}
    64329    0.080    0.000    0.463    0.000 artist.py:103(_stale_axes_callback)
  1591298    0.441    0.000    0.441    0.000 {method 'get' of 'dict' objects}
    20019    0.030    0.000    0.441    0.000 proj3d.py:210(proj_transform)
   343657    0.331    0.000    0.439    0.000 __init__.py:99(check_in_list)
    33180    0.059    0.000    0.419    0.000 lines.py:647(set_data)
  2296025    0.414    0.000    0.414    0.000 {built-in method builtins.issubclass}
     1043    0.022    0.000    0.411    0.000 patches.py:574(_draw_paths_with_artist_properties)
    12064    0.047    0.000    0.408    0.000 lines.py:1188(set_marker)
      114    0.012    0.000    0.408    0.004 artist.py:1600(pprint_setters)
    26426    0.214    0.000    0.403    0.000 artist.py:180(__init__)
     4223    0.009    0.000    0.401    0.000 lines.py:1034(get_path)
22975/13012    0.202    0.000    0.393    0.000 transforms.py:2450(get_affine)
    59993    0.073    0.000    0.384    0.000 artist.py:436(set_transform)
     7719    0.035    0.000    0.382    0.000 transforms.py:1482(transform)
        1    0.000    0.000    0.381    0.381 colorbar.py:1(<module>)
    12915    0.066    0.000    0.369    0.000 font_manager.py:602(__init__)
  1186045    0.369    0.000    0.369    0.000 {built-in method numpy.asarray}
     3671    0.020    0.000    0.360    0.000 backend_agg.py:249(_prepare_font)
     3671    0.358    0.000    0.358    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    67605    0.132    0.000    0.347    0.000 lines.py:1275(set_xdata)
     7354    0.032    0.000    0.347    0.000 text.py:65(_get_text_metrics_with_cache)
     1816    0.035    0.000    0.337    0.000 axis.py:1215(_set_lim)
